"Num","Electorate","Candidate.Surname","Candidate.Given.names","Party","Winner"
47,"Rotorua","McCLAY","Todd","National",1
47,"Rotorua","RUSSELL","Lyall","ACT"
47,"Rotorua","TABUTEAU","Fletcher","NZ First"
48,"Selwyn","ADAMS","Amy","National",1
48,"Selwyn","CLIBBORN","Roger","Conservative"
48,"Selwyn","DICKSON","Gordon John","Labour"
48,"Selwyn","GARDYNE","Sheryl","Māori"
48,"Selwyn","GILBERT","Paul","ACT"
48,"Selwyn","HILL","Peter Selwyn","Green"
48,"Selwyn","WOODS","Bill","NZ First"
49,"Tāmaki","GIBSON","Lisa","Internet Mana"
49,"Tāmaki","MILNE","Mike","ACT"
49,"Tāmaki","MOUNTAIN","Danny","Conservative"
49,"Tāmaki","O'CONNOR","Simon","National",1
49,"Tāmaki","SIGGAARD","Dorthe","Green"
49,"Tāmaki","WU","Chao-Fu","Labour"
50,"Taranaki-King Country","AISH","Edward","Conservative"
50,"Taranaki-King Country","ESPIN","David","Democrats for Social Credit"
50,"Taranaki-King Country","GAYLOR","Penny","Labour"
50,"Taranaki-King Country","KEINZLEY","Grant","Internet Party"
50,"Taranaki-King Country","KURIGER","Barbara","National",1
50,"Taranaki-King Country","MOORE","Robert","Green"
51,"Taupō","GEDGE","Lance","Conservative"
51,"Taupō","PEMBERTON","John","Democrats for Social Credit"
51,"Taupō","PERRY","Edwin","NZ First"
51,"Taupō","ROBINSON","Dave","Green"
51,"Taupō","SIMMONS","Alan","United Future"
51,"Taupō","STRANGE","Jamie","Labour"
51,"Taupō","UPSTON","Louise","National",1
51,"Taupō","WINITANA","Claire","Māori"
52,"Tauranga","BRIDGES","Simon","National",1
52,"Tauranga","HESLOP","Nathaniel","Conservative"
52,"Tauranga","JONES","Rachel","Labour"
52,"Tauranga","KANE","Rusty","Independent"
52,"Tauranga","LAMARE","Yvette","Independent"
52,"Tauranga","McLEAN","Ian","Green"
52,"Tauranga","MAXWELL","James","United Future"
52,"Tauranga","MITCHELL","Clayton","NZ First"
52,"Tauranga","OHIA-GATE","Verna","Māori"
52,"Tauranga","O'NEILL","Michael","NZ Independent Coalition"
52,"Tauranga","PEDERSEN","Stuart","ACT"
53,"Te Atatū","FLETCHER","Stephen","ACT"
53,"Te Atatū","McDERMOTT","Adrian","Aotearoa Legalise Cannabis Party"
53,"Te Atatū","NGARO","Alfred","National"
53,"Te Atatū","O'ROURKE","Paddy","Conservative"
53,"Te Atatū","STEWART","Gary","Green"
53,"Te Atatū","TWYFORD","Phil","Labour",1
53,"Te Atatū","YONG","Chris","Internet Party"
54,"Tukituki","FOSS","Craig","National",1
54,"Tukituki","JENKINSON","Stephen","Conservative"
54,"Tukituki","LENNOX","Duncan","ACT"
54,"Tukituki","LORCK","Anna","Labour"
54,"Tukituki","MANNING","Romana Marnz","Aotearoa Legalise Cannabis Party"
54,"Tukituki","PERLEY","Chris","Green"
54,"Tukituki","RYAN","Dick","Democrats for Social Credit"
55,"Upper Harbour","BENNETT","Paula","National",1
55,"Upper Harbour","BERRY","Stephen","ACT"
55,"Upper Harbour","BLAIR","Callum","Conservative"
55,"Upper Harbour","MAYNE","Nicholas","Green"
55,"Upper Harbour","NGATA","Makelesi","Internet Mana"
55,"Upper Harbour","RETZLAFF","Hermann","Labour"
55,"Upper Harbour","TE HAU","Hinurewa","Māori"
56,"Waikato","BURROW","Mike","ACT"
56,"Waikato","DOBBS","Brian","Conservative"
56,"Waikato","GREER","Christine","Labour"
56,"Waikato","RANSOM","Katherine","Democrats for Social Credit"
56,"Waikato","STEWART","Barbara","NZ First"
56,"Waikato","TISCH","Lindsay","National",1
57,"Waimakariri","ADCOCK-WHITE","Peter","Democrats for Social Credit"
57,"Waimakariri","COSGROVE","Clayton","Labour"
57,"Waimakariri","DOOCEY","Matt","National",1
57,"Waimakariri","HUNT","Reuben","Green"
57,"Waimakariri","PRICE","Benjamin","Conservative"
57,"Waimakariri","PROSSER","Richard Ivor","NZ First"
57,"Waimakariri","RERITI-CROFTS","Aroha","Māori"
58,"Wairarapa","ATKINSON","Shane","ACT"
58,"Wairarapa","HART","John","Green"
58,"Wairarapa","McANULTY","Kieran","Labour"
58,"Wairarapa","MARK","Ron","NZ First"
58,"Wairarapa","REID","Brent Allan","Conservative"
58,"Wairarapa","SCOTT","Alastair","National",1
58,"Wairarapa","SMITH","Ra","Māori"
59,"Waitaki","ALEXANDER","Glenda","Labour"
59,"Waitaki","AUBREY","Donald","Conservative"
59,"Waitaki","COUTTS","Sue","Green"
59,"Waitaki","DEAN","Jacqui","National",1
59,"Waitaki","VAN WIEREN","Hessel","Democrats for Social Credit"
60,"Wellington Central","BARR","Hugh","NZ First"
60,"Wellington Central","FOSTER-BELL","Paul","National"
60,"Wellington Central","GREGORY","Alistair","Aotearoa Legalise Cannabis Party"
60,"Wellington Central","HOOPER","Brian","Conservative"
60,"Wellington Central","KARENA PUHI","Huimaono Geoff","Independent"
60,"Wellington Central","KNUCKEY","James","Democrats for Social Credit"
60,"Wellington Central","ROBERTSON","Grant","Labour",1
60,"Wellington Central","ROBINSON","Peter Franklin","Independent"
60,"Wellington Central","SHAW","James","Green"
60,"Wellington Central","VALENTINE","Callum","Internet Party"
61,"West Coast-Tasman","BOOMERT","Laurence","Money Free Party"
61,"West Coast-Tasman","HAGUE","Kevin","Green"
61,"West Coast-Tasman","HOLLEY","Claire Margaret","Conservative"
61,"West Coast-Tasman","O'CONNOR","Damien Peter","Labour",1
61,"West Coast-Tasman","PUGH","Maureen","National"
61,"West Coast-Tasman","SALTER","Pete","Ban1080"
61,"West Coast-Tasman","WILKINSON","Steven","Independent"
62,"Whanganui","BORROWS","Chester","National",1
62,"Whanganui","DAVIDSON","Alan","ACT"
62,"Whanganui","McDOUALL","Hamish","Labour"
62,"Whanganui","MacINTYRE","Kim","Conservative"
62,"Whanganui","SMITH","Heather Marion","Democrats for Social Credit"
62,"Whanganui","TUAINE","Nancy","Māori"
63,"Whangarei","CURRIN","David","Internet Party"
63,"Whangarei","DOHERTY","Paul","Green"
63,"Whangarei","ELLIS","Kelly","Labour"
63,"Whangarei","GRIEVE","Robin","ACT"
63,"Whangarei","KAIPO","Anaru","Māori"
63,"Whangarei","KING","Les","Focus New Zealand"
63,"Whangarei","LEITCH","Chris","Democrats for Social Credit"
63,"Whangarei","NIGHTINGALE","Don","Conservative"
63,"Whangarei","PARAONE","Pita","NZ First"
63,"Whangarei","RETI","Shane","National",1
64,"Wigram","GRIEVE","Shaun","ACT"
64,"Wigram","HANSEN","Tubby","NZ Economic Euthenics Party"
64,"Wigram","McCLINTOCK","Lois","Internet Party"
64,"Wigram","PETERS","Mark","Conservative"
64,"Wigram","PHILLIPS","Te Whe","Māori"
64,"Wigram","RING","John","Democrats for Social Credit"
64,"Wigram","VARLEY","Karl","National"
64,"Wigram","WESLEY","Richard","Green"
64,"Wigram","WOODS","Megan","Labour",1
65,"Hauraki-Waikato","CULLEN","Susan","Māori"
